Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories
TC-Light: Temporally Consistent Relighting for Dynamic Long Videos,"Editing illumination in long videos with complex dynamics has significant
value in various downstream tasks, including visual content creation and
manipulation, as well as data scaling up for embodied AI through sim2real and
real2real transfer. Nevertheless, existing video relighting techniques are
predominantly limited to portrait videos or fall into the bottleneck of
temporal consistency and computation efficiency. In this paper, we propose
TC-Light, a novel paradigm characterized by the proposed two-stage post
optimization mechanism. Starting from the video preliminarily relighted by an
inflated video relighting model, it optimizes appearance embedding in the first
stage to align global illumination. Then it optimizes the proposed canonical
video representation, i.e., Unique Video Tensor (UVT), to align fine-grained
texture and lighting in the second stage. To comprehensively evaluate
performance, we also establish a long and highly dynamic video benchmark.
Extensive experiments show that our method enables physically plausible
relighting results with superior temporal coherence and low computation cost.
The code and video demos are available at
https://dekuliutesla.github.io/tclight/.","['Yang Liu', 'Chuanchen Luo', 'Zimo Tang', 'Yingyan Li', 'Yuran Yang', 'Yuanyong Ning', 'Lue Fan', 'Junran Peng', 'Zhaoxiang Zhang']",2025-06-23 17:59:58+00:00,2025-06-23 17:59:58+00:00,http://arxiv.org/pdf/2506.18904v1,cs.CV,['cs.CV']
FilMaster: Bridging Cinematic Principles and Generative AI for Automated Film Generation,"AI-driven content creation has shown potential in film production. However,
existing film generation systems struggle to implement cinematic principles and
thus fail to generate professional-quality films, particularly lacking diverse
camera language and cinematic rhythm. This results in templated visuals and
unengaging narratives. To address this, we introduce FilMaster, an end-to-end
AI system that integrates real-world cinematic principles for
professional-grade film generation, yielding editable, industry-standard
outputs. FilMaster is built on two key principles: (1) learning cinematography
from extensive real-world film data and (2) emulating professional,
audience-centric post-production workflows. Inspired by these principles,
FilMaster incorporates two stages: a Reference-Guided Generation Stage which
transforms user input to video clips, and a Generative Post-Production Stage
which transforms raw footage into audiovisual outputs by orchestrating visual
and auditory elements for cinematic rhythm. Our generation stage highlights a
Multi-shot Synergized RAG Camera Language Design module to guide the AI in
generating professional camera language by retrieving reference clips from a
vast corpus of 440,000 film clips. Our post-production stage emulates
professional workflows by designing an Audience-Centric Cinematic Rhythm
Control module, including Rough Cut and Fine Cut processes informed by
simulated audience feedback, for effective integration of audiovisual elements
to achieve engaging content. The system is empowered by generative AI models
like (M)LLMs and video generation models. Furthermore, we introduce FilmEval, a
comprehensive benchmark for evaluating AI-generated films. Extensive
experiments show FilMaster's superior performance in camera language design and
cinematic rhythm control, advancing generative AI in professional filmmaking.","['Kaiyi Huang', 'Yukun Huang', 'Xintao Wang', 'Zinan Lin', 'Xuefei Ning', 'Pengfei Wan', 'Di Zhang', 'Yu Wang', 'Xihui Liu']",2025-06-23 17:59:16+00:00,2025-06-23 17:59:16+00:00,http://arxiv.org/pdf/2506.18899v1,cs.CV,['cs.CV']
Steering Conceptual Bias via Transformer Latent-Subspace Activation,"This work examines whether activating latent subspaces in language models
(LLMs) can steer scientific code generation toward a specific programming
language. Five causal LLMs were first evaluated on scientific coding prompts to
quantify their baseline bias among four programming languages. A static
neuron-attribution method, perturbing the highest activated MLP weight for a
C++ or CPP token, proved brittle and exhibited limited generalization across
prompt styles and model scales. To address these limitations, a
gradient-refined adaptive activation steering framework (G-ACT) was developed:
per-prompt activation differences are clustered into a small set of steering
directions, and lightweight per-layer probes are trained and refined online to
select the appropriate steering vector. In LLaMA-3.2 3B, this approach reliably
biases generation towards the CPP language by increasing the average probe
classification accuracy by 15% and the early layers (0-6) improving the probe
classification accuracy by 61.5% compared to the standard ACT framework. For
LLaMA-3.3 70B, where attention-head signals become more diffuse, targeted
injections at key layers still improve language selection. Although per-layer
probing introduces a modest inference overhead, it remains practical by
steering only a subset of layers and enables reproducible model behavior. These
results demonstrate a scalable, interpretable and efficient mechanism for
concept-level control for practical agentic systems.","['Vansh Sharma', 'Venkat Raman']",2025-06-23 17:56:34+00:00,2025-06-23 17:56:34+00:00,http://arxiv.org/pdf/2506.18887v1,cs.AI,"['cs.AI', 'cs.LG', 'cs.SY', 'eess.SY', 'I.2.7; I.2.6; I.2.1; D.3.3; C.4']"
Amplifying Machine Learning Attacks Through Strategic Compositions,"Machine learning (ML) models are proving to be vulnerable to a variety of
attacks that allow the adversary to learn sensitive information, cause
mispredictions, and more. While these attacks have been extensively studied,
current research predominantly focuses on analyzing each attack type
individually. In practice, however, adversaries may employ multiple attack
strategies simultaneously rather than relying on a single approach. This
prompts a crucial yet underexplored question: When the adversary has multiple
attacks at their disposal, are they able to mount or amplify the effect of one
attack with another? In this paper, we take the first step in studying the
strategic interactions among different attacks, which we define as attack
compositions. Specifically, we focus on four well-studied attacks during the
model's inference phase: adversarial examples, attribute inference, membership
inference, and property inference. To facilitate the study of their
interactions, we propose a taxonomy based on three stages of the attack
pipeline: preparation, execution, and evaluation. Using this taxonomy, we
identify four effective attack compositions, such as property inference
assisting attribute inference at its preparation level and adversarial examples
assisting property inference at its execution level. We conduct extensive
experiments on the attack compositions using three ML model architectures and
three benchmark image datasets. Empirical results demonstrate the effectiveness
of these four attack compositions. We implement and release a modular reusable
toolkit, COAT. Arguably, our work serves as a call for researchers and
practitioners to consider advanced adversarial settings involving multiple
attack strategies, aiming to strengthen the security and robustness of AI
systems.","['Yugeng Liu', 'Zheng Li', 'Hai Huang', 'Michael Backes', 'Yang Zhang']",2025-06-23 17:38:48+00:00,2025-06-23 17:38:48+00:00,http://arxiv.org/pdf/2506.18870v1,cs.CR,['cs.CR']
Analytical transit light curves for power-law limb darkening: a comprehensive framework via fractional calculus and differential equations,"We present the first complete analytical framework for computing exoplanetary
transit light curves with arbitrary power-law limb darkening profiles $I(\mu)
\propto \mu^\alpha$, where $\alpha$ can be any real number greater than $-1/2$,
including the physically important non-integer cases. While the groundbreaking
work of Agol et al. (2020) provided exact analytical solutions for polynomial
limb darkening through recursion relations, stellar atmosphere models often
favor power-law forms with fractional exponents (particularly $\alpha = 1/2$)
that remained analytically intractable until now. We solve this fundamental
limitation through two complementary mathematical approaches: (1)
Riemann-Liouville fractional calculus operators that naturally handle
non-integer powers through exact integral representations, and (2) a continuous
differential equation framework that generalizes discrete polynomial recursions
to arbitrary real exponents. Our method provides exact analytical expressions
for all half-integer powers ($\alpha = k/2$) essential for 4-term limb
darkening law by Claret (2000), maintains machine precision even at geometric
contact points where numerical methods fail, and preserves the computational
speed advantages crucial for parameter fitting. We demonstrate that the
square-root limb darkening ($\alpha = 1/2$) favored by recent stellar
atmosphere studies can now be computed analytically with the same efficiency as
traditional quadratic models, achieving 10--100$\times$ speed improvements over
numerical integration while providing exact analytical derivatives.","['Farrukh A. Chishtie', 'Mohammad I. Saeed', 'Shaukat N. Goderya']",2025-06-23 17:22:11+00:00,2025-06-23 17:22:11+00:00,http://arxiv.org/pdf/2506.18860v1,astro-ph.EP,"['astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
ECLEIRS: Exact conservation law embedded identification of reduced states for parameterized partial differential equations from sparse and noisy data,"Multi-query applications such as parameter estimation, uncertainty
quantification and design optimization for parameterized PDE systems are
expensive due to the high computational cost of high-fidelity simulations.
Reduced/Latent state dynamics approaches for parameterized PDEs offer a viable
method where high-fidelity data and machine learning techniques are used to
reduce the system's dimensionality and estimate the dynamics of low-dimensional
reduced states. These reduced state dynamics approaches rely on high-quality
data and struggle with highly sparse spatiotemporal noisy measurements
typically obtained from experiments. Furthermore, there is no guarantee that
these models satisfy governing physical conservation laws, especially for
parameters that are not a part of the model learning process. In this article,
we propose a reduced state dynamics approach, which we refer to as ECLEIRS,
that satisfies conservation laws exactly even for parameters unseen in the
model training process. ECLEIRS is demonstrated for two applications: 1)
obtaining clean solution signals from sparse and noisy measurements of
parametric systems, and 2) predicting dynamics for unseen system parameters. We
compare ECLEIRS with other reduced state dynamics approaches, those that do not
enforce any physical constraints and those with physics-informed loss
functions, for three shock-propagation problems: 1-D advection, 1-D Burgers and
2-D Euler equations. The numerical experiments conducted in this study
demonstrate that ECLEIRS provides the most accurate prediction of dynamics for
unseen parameters even in the presence of highly sparse and noisy data. We also
demonstrate that ECLEIRS yields solutions and fluxes that satisfy the governing
conservation law up to machine precision for unseen parameters, while the other
methods yield much higher errors and do not satisfy conservation laws.","['Aviral Prakash', 'Ben S. Southworth', 'Marc L. Klasky']",2025-06-23 17:18:11+00:00,2025-06-23 17:18:11+00:00,http://arxiv.org/pdf/2506.18855v1,math-ph,"['math-ph', 'math.MP']"
Comparative analysis of machine learning techniques for feature selection and classification of Fast Radio Bursts,"Fast Radio Bursts (FRBs) are millisecond-duration radio transients of
extragalactic origin, exhibiting a wide range of physical and observational
properties. Distinguishing between repeating and non-repeating FRBs remains a
key challenge in understanding their nature. In this work, we apply
unsupervised machine learning techniques to classify FRBs based on both primary
observables from the CHIME catalog and physically motivated derived features.
We evaluate three hybrid pipelines combining dimensionality reduction with
clustering: PCA + k-means, t-SNE + HDBSCAN, and t-SNE + Spectral Clustering. To
identify optimal hyperparameters, we implement a comprehensive grid search
using a custom scoring function that prioritizes recall while penalizing
excessive cluster fragmentation and noise. Feature relevance is assessed using
principal component loadings, mutual information with the known repeater label,
and permutation-based F\textsubscript{2} score sensitivity. Our results
demonstrate that the derived features including redshift, luminosity, and
spectral properties, such as the spectral index and the spectral running,
significantly enhance the classification performance. Finally, we identify a
set of FRBs currently labeled as non-repeaters that consistently cluster with
known repeaters across all methods, highlighting promising candidates for
future follow-up observations and reinforcing the utility of unsupervised
approaches in FRB population studies.","['Ailton J. B. Júnior', 'Jéferson A. S. Fortunato', 'Leonardo J. Silvestre', 'Thonimar V. Alencar', 'Wiliam S. Hipólito-Ricaldi']",2025-06-23 17:16:29+00:00,2025-06-23 17:16:29+00:00,http://arxiv.org/pdf/2506.18854v1,astro-ph.HE,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.IM']"
Mechanistic Interpretability Needs Philosophy,"Mechanistic interpretability (MI) aims to explain how neural networks work by
uncovering their underlying causal mechanisms. As the field grows in influence,
it is increasingly important to examine not just models themselves, but the
assumptions, concepts and explanatory strategies implicit in MI research. We
argue that mechanistic interpretability needs philosophy: not as an
afterthought, but as an ongoing partner in clarifying its concepts, refining
its methods, and assessing the epistemic and ethical stakes of interpreting AI
systems. Taking three open problems from the MI literature as examples, this
position paper illustrates the value philosophy can add to MI research, and
outlines a path toward deeper interdisciplinary dialogue.","['Iwan Williams', 'Ninell Oldenburg', 'Ruchira Dhar', 'Joshua Hatherley', 'Constanza Fierro', 'Nina Rajcic', 'Sandrine R. Schiller', 'Filippos Stamatiou', 'Anders Søgaard']",2025-06-23 17:13:30+00:00,2025-06-23 17:13:30+00:00,http://arxiv.org/pdf/2506.18852v1,cs.CL,"['cs.CL', 'cs.AI']"
Generalized energy band alignment model for van der Waals heterostructures with a charge spillage dipole,"The energy band alignment at the interface of van der Waals heterostructures
(vdWHs) is a key design parameter for next-generation electronic and
optoelectronic devices. Although the Anderson and midgap models have been
widely adopted for bulk semiconductor heterostructures, they exhibit severe
limitations when applied to vdWHs, particularly for type-III systems. Based on
first-principles calculations for approximately $10^3$ vdWHs, we demonstrate
these traditional models miss a critical dipole arising from interlayer charge
spillage. We introduce a generalized linear response (gLR) model that includes
this dipole through a quantum capacitance term while remaining analytically
compact. With only two readily computed inputs, the charge neutrality level
offset and the sum of the isolated-layer bandgaps, the gLR reproduces DFT band
line-ups with $r^2\sim$0.9 across type-I, II, and III stacks. Machine-learning
feature analysis confirms that these two descriptors dominate the underlying
physics, indicating the model is near-minimal and broadly transferable. The gLR
framework therefore provides both mechanistic insight and a fast, accurate
surrogate for high-throughput screening of the vast vdW heterostructure design
space.","['Seungjun Lee', 'Eng Hock Lee', 'Young-Kyun Kwon', 'Steven J. Koester', 'Phaedon Avouris', 'Vladimir Cherkassky', 'Jerry Tersoff', 'Tony Low']",2025-06-23 17:09:07+00:00,2025-06-23 17:09:07+00:00,http://arxiv.org/pdf/2506.18850v1,cond-mat.mtrl-sci,['cond-mat.mtrl-sci']
Offline Goal-Conditioned Reinforcement Learning with Projective Quasimetric Planning,"Offline Goal-Conditioned Reinforcement Learning seeks to train agents to
reach specified goals from previously collected trajectories. Scaling that
promises to long-horizon tasks remains challenging, notably due to compounding
value-estimation errors. Principled geometric offers a potential solution to
address these issues. Following this insight, we introduce Projective
Quasimetric Planning (ProQ), a compositional framework that learns an
asymmetric distance and then repurposes it, firstly as a repulsive energy
forcing a sparse set of keypoints to uniformly spread over the learned latent
space, and secondly as a structured directional cost guiding towards proximal
sub-goals. In particular, ProQ couples this geometry with a Lagrangian
out-of-distribution detector to ensure the learned keypoints stay within
reachable areas. By unifying metric learning, keypoint coverage, and
goal-conditioned control, our approach produces meaningful sub-goals and
robustly drives long-horizon goal-reaching on diverse a navigation benchmarks.","['Anthony Kobanda', 'Waris Radji', 'Mathieu Petitbois', 'Odalric-Ambrym Maillard', 'Rémy Portelas']",2025-06-23 17:07:20+00:00,2025-06-23 17:07:20+00:00,http://arxiv.org/pdf/2506.18847v1,cs.LG,['cs.LG']
