Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories
How Well Does GPT-4o Understand Vision? Evaluating Multimodal Foundation Models on Standard Computer Vision Tasks,"Multimodal foundation models, such as GPT-4o, have recently made remarkable
progress, but it is not clear where exactly these models stand in terms of
understanding vision. In this paper, we benchmark the performance of popular
multimodal foundation models (GPT-4o, o4-mini, Gemini 1.5 Pro and Gemini 2.0
Flash, Claude 3.5 Sonnet, Qwen2-VL, Llama 3.2) on standard computer vision
tasks (semantic segmentation, object detection, image classification, depth and
surface normal prediction) using established datasets (e.g., COCO, ImageNet and
its variants, etc).
  The main challenges to performing this are: 1) most models are trained to
output text and cannot natively express versatile domains, such as segments or
3D geometry, and 2) many leading models are proprietary and accessible only at
an API level, i.e., there is no weight access to adapt them. We address these
challenges by translating standard vision tasks into equivalent text-promptable
and API-compatible tasks via prompt chaining to create a standardized
benchmarking framework.
  We observe that 1) the models are not close to the state-of-the-art
specialist models at any task. However, 2) they are respectable generalists;
this is remarkable as they are presumably trained on primarily image-text-based
tasks. 3) They perform semantic tasks notably better than geometric ones. 4)
While the prompt-chaining techniques affect performance, better models exhibit
less sensitivity to prompt variations. 5) GPT-4o performs the best among
non-reasoning models, securing the top position in 4 out of 6 tasks, 6)
reasoning models, e.g. o3, show improvements in geometric tasks, and 7) a
preliminary analysis of models with native image generation, like the latest
GPT-4o, shows they exhibit quirks like hallucinations and spatial
misalignments.","['Rahul Ramachandran', 'Ali Garjani', 'Roman Bachmann', 'Andrei Atanov', 'Oğuzhan Fatih Kar', 'Amir Zamir']",2025-07-02 17:59:07+00:00,2025-07-02 17:59:07+00:00,http://arxiv.org/pdf/2507.01955v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']"
Test-Time Scaling with Reflective Generative Model,"We introduce our first reflective generative model MetaStone-S1, which
obtains OpenAI o3's performance via the self-supervised process reward model
(SPRM). Through sharing the backbone network and using task-specific heads for
next token prediction and process scoring respectively, SPRM successfully
integrates the policy model and process reward model(PRM) into a unified
interface without extra process annotation, reducing over 99% PRM parameters
for efficient reasoning. Equipped with SPRM, MetaStone-S1 is naturally suitable
for test time scaling (TTS), and we provide three reasoning effort modes (low,
medium, and high), based on the controllable thinking length. Moreover, we
empirically establish a scaling law that reveals the relationship between total
thinking computation and TTS performance. Experiments demonstrate that our
MetaStone-S1 achieves comparable performance to OpenAI-o3-mini's series with
only 32B parameter size. To support the research community, we have
open-sourced MetaStone-S1 at https://github.com/MetaStone-AI/MetaStone-S1.","['Zixiao Wang', 'Yuxin Wang', 'Xiaorui Wang', 'Mengting Xing', 'Jie Gao', 'Jianjun Xu', 'Guangcan Liu', 'Chenhui Jin', 'Zhuo Wang', 'Shengzhuo Zhang', 'Hongtao Xie']",2025-07-02 17:58:01+00:00,2025-07-02 17:58:01+00:00,http://arxiv.org/pdf/2507.01951v1,cs.LG,"['cs.LG', 'cs.CL']"
Characterizing control between interacting subsystems with deep Jacobian estimation,"Biological function arises through the dynamical interactions of multiple
subsystems, including those between brain areas, within gene regulatory
networks, and more. A common approach to understanding these systems is to
model the dynamics of each subsystem and characterize communication between
them. An alternative approach is through the lens of control theory: how the
subsystems control one another. This approach involves inferring the
directionality, strength, and contextual modulation of control between
subsystems. However, methods for understanding subsystem control are typically
linear and cannot adequately describe the rich contextual effects enabled by
nonlinear complex systems. To bridge this gap, we devise a data-driven
nonlinear control-theoretic framework to characterize subsystem interactions
via the Jacobian of the dynamics. We address the challenge of learning
Jacobians from time-series data by proposing the JacobianODE, a deep learning
method that leverages properties of the Jacobian to directly estimate it for
arbitrary dynamical systems from data alone. We show that JacobianODEs
outperform existing Jacobian estimation methods on challenging systems,
including high-dimensional chaos. Applying our approach to a multi-area
recurrent neural network (RNN) trained on a working memory selection task, we
show that the ""sensory"" area gains greater control over the ""cognitive"" area
over learning. Furthermore, we leverage the JacobianODE to directly control the
trained RNN, enabling precise manipulation of its behavior. Our work lays the
foundation for a theoretically grounded and data-driven understanding of
interactions among biological subsystems.","['Adam J. Eisen', 'Mitchell Ostrow', 'Sarthak Chandra', 'Leo Kozachkov', 'Earl K. Miller', 'Ila R. Fiete']",2025-07-02 17:55:53+00:00,2025-07-02 17:55:53+00:00,http://arxiv.org/pdf/2507.01946v1,q-bio.QM,"['q-bio.QM', 'cs.LG', 'math.DS', 'q-bio.NC']"
ML-Driven Strong Lens Discoveries: Down to $θ_E \sim 0.03''$ and $M_\mathrm{halo}< 10^{11} M_\odot$,"We present results on extending the strong lens discovery space down to much
smaller Einstein radii ($\theta_E\lesssim0.03''$) and much lower halo mass
($M_\mathrm{halo}<10^{11}M_\odot$) through the combination of JWST observations
and machine learning (ML) techniques. First, we forecast detectable strong
lenses with JWST using CosmoDC2 as the lens catalog, and a source catalog down
to 29th magnitude. By further incorporating the VELA hydrodynamical simulations
of high-redshift galaxies, we simulate strong lenses. We train a ResNet on
these images, achieving near-100\% completeness and purity for ``conventional""
strong lenses ($\theta_E\gtrsim 0.5''$), applicable to JWST, HST, the Roman
Space Telescope and Euclid VIS. For the first time, we also search for very low
halo mass strong lenses ($M_{halo}<10^{11}M_\odot$) in simulations, with
$\theta_E\ll 0.5''$, down to the best resolution ($0.03''$) and depth
(10,000~sec) limits of JWST using ResNet. A U-Net model is employed to pinpoint
these small lenses in images, which are otherwise virtually impossible for
human detection. Our results indicate that JWST can find $\sim 17$/deg$^2$ such
low-halo-mass lenses, with the locations of $\sim 1.1$/deg$^2$ of these
detectable by the U-Net at $\sim100$\% precision (and $\sim 7.0$/deg$^2$ at a
99.0\% precision). To validate our model for finding ``conventional"" strong
lenses, we apply it to HST images, discovering two new strong lens candidates
previously missed by human classifiers in a crowdsourcing project (Garvin et
al. 2022). This study demonstrates the (potentially ``superhuman"") advantages
of ML combined with current and future space telescopes for detecting
conventional, and especially, low-halo-mass strong lenses, which are critical
for testing CDM models.","['Ethan Silver', 'R. Wang', 'Xiaosheng Huang', 'A. Bolton', 'C. Storfer', 'S. Banka']",2025-07-02 17:53:18+00:00,2025-07-02 17:53:18+00:00,http://arxiv.org/pdf/2507.01943v1,astro-ph.CO,"['astro-ph.CO', 'astro-ph.GA']"
SpecCLIP: Aligning and Translating Spectroscopic Measurements for Stars,"In recent years, large language models (LLMs) have transformed natural
language understanding through vast datasets and large-scale parameterization.
Inspired by this success, we present SpecCLIP, a foundation model framework
that extends LLM-inspired methodologies to stellar spectral analysis. Stellar
spectra, akin to structured language, encode rich physical and chemical
information about stars. By training foundation models on large-scale spectral
datasets, our goal is to learn robust and informative embeddings that support
diverse downstream applications. As a proof of concept, SpecCLIP involves
pre-training on two spectral types--LAMOST low-resolution and Gaia XP--followed
by contrastive alignment using the CLIP (Contrastive Language-Image
Pre-training) framework, adapted to associate spectra from different
instruments. This alignment is complemented by auxiliary decoders that preserve
spectrum-specific information and enable translation (prediction) between
spectral types, with the former achieved by maximizing mutual information
between embeddings and input spectra. The result is a cross-spectrum framework
enabling intrinsic calibration and flexible applications across instruments. We
demonstrate that fine-tuning these models on moderate-sized labeled datasets
improves adaptability to tasks such as stellar-parameter estimation and
chemical-abundance determination. SpecCLIP also enhances the accuracy and
precision of parameter estimates benchmarked against external survey data.
Additionally, its similarity search and cross-spectrum prediction capabilities
offer potential for anomaly detection. Our results suggest that contrastively
trained foundation models enriched with spectrum-aware decoders can advance
precision stellar spectroscopy.","['Xiaosheng Zhao', 'Yang Huang', 'Guirong Xue', 'Xiao Kong', 'Jifeng Liu', 'Xiaoyu Tang', 'Timothy C. Beers', 'Yuan-Sen Ting', 'A-Li Luo']",2025-07-02 17:49:52+00:00,2025-07-02 17:49:52+00:00,http://arxiv.org/pdf/2507.01939v1,astro-ph.IM,"['astro-ph.IM', 'astro-ph.SR', 'cs.AI', 'cs.LG']"
The Thin Line Between Comprehension and Persuasion in LLMs,"Large language models (LLMs) are excellent at maintaining high-level,
convincing dialogues. They are being fast deployed as chatbots and evaluators
in sensitive areas, such as peer review and mental health applications. This,
along with the disparate accounts on their reasoning capabilities, calls for a
closer examination of LLMs and their comprehension of dialogue. In this work we
begin by evaluating LLMs' ability to maintain a debate--one of the purest yet
most complex forms of human communication. Then we measure how this capability
relates to their understanding of what is being talked about, namely, their
comprehension of dialogical structures and the pragmatic context. We find that
LLMs are capable of maintaining coherent, persuasive debates, often swaying the
beliefs of participants and audiences alike. We also note that awareness or
suspicion of AI involvement encourage people to be more critical of the
arguments made. When polling LLMs on their comprehension of deeper structures
of dialogue, however, they cannot demonstrate said understanding. Our findings
tie the shortcomings of LLMs-as-evaluators to their (in)ability to understand
the context. More broadly, for the field of argumentation theory we posit that,
if an agent can convincingly maintain a dialogue, it is not necessary for it to
know what it is talking about. Hence, the modelling of pragmatic context and
coherence are secondary to effectiveness.","['Adrian de Wynter', 'Tangming Yuan']",2025-07-02 17:46:56+00:00,2025-07-02 17:46:56+00:00,http://arxiv.org/pdf/2507.01936v1,cs.CL,"['cs.CL', 'cs.CY']"
A first-order method for nonconvex-nonconcave minimax problems under a local Kurdyka-Łojasiewicz condition,"We study a class of nonconvex-nonconcave minimax problems in which the inner
maximization problem satisfies a local Kurdyka-{\L}ojasiewicz (KL) condition
that may vary with the outer minimization variable. In contrast to the global
KL or Polyak-{\L}ojasiewicz (PL) conditions commonly assumed in the literature
-- which are significantly stronger and often too restrictive in practice --
this local KL condition accommodates a broader range of practical scenarios.
However, it also introduces new analytical challenges. In particular, as an
optimization algorithm progresses toward a stationary point of the problem, the
region over which the KL condition holds may shrink, resulting in a more
intricate and potentially ill-conditioned landscape. To address this challenge,
we show that the associated maximal function is locally H\""older smooth.
Leveraging this key property, we develop an inexact proximal gradient method
for solving the minimax problem, where the inexact gradient of the maximal
function is computed by applying a proximal gradient method to a KL-structured
subproblem. Under mild assumptions, we establish complexity guarantees for
computing an approximate stationary point of the minimax problem.","['Zhaosong Lu', 'Xiangyuan Wang']",2025-07-02 17:45:10+00:00,2025-07-02 17:45:10+00:00,http://arxiv.org/pdf/2507.01932v1,math.OC,"['math.OC', 'cs.LG', 'cs.NA', 'math.NA', 'stat.ML', '90C26, 90C30, 90C47, 90C99, 65K05']"
Exploring a Hybrid Deep Learning Approach for Anomaly Detection in Mental Healthcare Provider Billing: Addressing Label Scarcity through Semi-Supervised Anomaly Detection,"The complexity of mental healthcare billing enables anomalies, including
fraud. While machine learning methods have been applied to anomaly detection,
they often struggle with class imbalance, label scarcity, and complex
sequential patterns. This study explores a hybrid deep learning approach
combining Long Short-Term Memory (LSTM) networks and Transformers, with
pseudo-labeling via Isolation Forests (iForest) and Autoencoders (AE). Prior
work has not evaluated such hybrid models trained on pseudo-labeled data in the
context of healthcare billing. The approach is evaluated on two real-world
billing datasets related to mental healthcare. The iForest LSTM baseline
achieves the highest recall (0.963) on declaration-level data. On the
operation-level data, the hybrid iForest-based model achieves the highest
recall (0.744), though at the cost of lower precision. These findings highlight
the potential of combining pseudo-labeling with hybrid deep learning in
complex, imbalanced anomaly detection settings.","['Samirah Bakker', 'Yao Ma', 'Seyed Sahand Mohammadi Ziabari']",2025-07-02 17:33:47+00:00,2025-07-02 17:33:47+00:00,http://arxiv.org/pdf/2507.01924v1,cs.LG,"['cs.LG', 'cs.AI']"
End-to-End Large Portfolio Optimization for Variance Minimization with Neural Networks through Covariance Cleaning,"We develop a rotation-invariant neural network that provides the global
minimum-variance portfolio by jointly learning how to lag-transform historical
returns and how to regularise both the eigenvalues and the marginal
volatilities of large equity covariance matrices. This explicit mathematical
mapping offers clear interpretability of each module's role, so the model
cannot be regarded as a pure black-box. The architecture mirrors the analytical
form of the global minimum-variance solution yet remains agnostic to dimension,
so a single model can be calibrated on panels of a few hundred stocks and
applied, without retraining, to one thousand US equities-a cross-sectional jump
that demonstrates robust out-of-sample generalisation. The loss function is the
future realized minimum portfolio variance and is optimized end-to-end on real
daily returns. In out-of-sample tests from January 2000 to December 2024 the
estimator delivers systematically lower realised volatility, smaller maximum
drawdowns, and higher Sharpe ratios than the best analytical competitors,
including state-of-the-art non-linear shrinkage. Furthermore, although the
model is trained end-to-end to produce an unconstrained (long-short)
minimum-variance portfolio, we show that its learned covariance representation
can be used in general optimizers under long-only constraints with virtually no
loss in its performance advantage over competing estimators. These gains
persist when the strategy is executed under a highly realistic implementation
framework that models market orders at the auctions, empirical slippage,
exchange fees, and financing charges for leverage, and they remain stable
during episodes of acute market stress.","['Christian Bongiorno', 'Efstratios Manolakis', 'Rosario Nunzio Mantegna']",2025-07-02 17:27:29+00:00,2025-07-02 17:27:29+00:00,http://arxiv.org/pdf/2507.01918v1,q-fin.PM,"['q-fin.PM', 'cs.AI', 'math.OC', 'physics.data-an', 'stat.ML', '91G10 (Primary) 68T07, 91G60, 62P05 (Secondary)', 'I.2.6; I.5.1; G.3; J.4']"
Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models,"Reinforcement Learning from Human Feedback (RLHF) has emerged as a powerful
technique for aligning large language models (LLMs) with human preferences.
However, effectively aligning LLMs with diverse human preferences remains a
significant challenge, particularly when they are conflict. To address this
issue, we frame human value alignment as a multi-objective optimization
problem, aiming to maximize a set of potentially conflicting objectives. We
introduce Gradient-Adaptive Policy Optimization (GAPO), a novel fine-tuning
paradigm that employs multiple-gradient descent to align LLMs with diverse
preference distributions. GAPO adaptively rescales the gradients for each
objective to determine an update direction that optimally balances the
trade-offs between objectives. Additionally, we introduce P-GAPO, which
incorporates user preferences across different objectives and achieves Pareto
solutions that better align with the user's specific needs. Our theoretical
analysis demonstrates that GAPO converges towards a Pareto optimal solution for
multiple objectives. Empirical results on Mistral-7B show that GAPO outperforms
current state-of-the-art methods, achieving superior performance in both
helpfulness and harmlessness.","['Chengao Li', 'Hanyu Zhang', 'Yunkun Xu', 'Hongyan Xue', 'Xiang Ao', 'Qing He']",2025-07-02 17:25:26+00:00,2025-07-02 17:25:26+00:00,http://arxiv.org/pdf/2507.01915v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']"
Advancing Magnetic Materials Discovery -- A structure-based machine learning approach for magnetic ordering and magnetic moment prediction,"Accurately predicting magnetic behavior across diverse materials systems
remains a longstanding challenge due to the complex interplay of structural and
electronic factors and is pivotal for the accelerated discovery and design of
next-generation magnetic materials. In this work, a refined descriptor is
proposed that significantly improves the prediction of two critical magnetic
properties -- magnetic ordering (Ferromagnetic vs. Ferrimagnetic) and magnetic
moment per atom -- using only the structural information of materials. Unlike
previous models limited to Mn-based or lanthanide-transition metal compounds,
the present approach generalizes across a diverse dataset of 5741 stable,
binary and ternary, ferromagnetic and ferrimagnetic compounds sourced from the
Materials Project. Leveraging an enriched elemental vector representation and
advanced feature engineering, including nonlinear terms and reduced matrix
sparsity, the LightGBM-based model achieves an accuracy of 82.4% for magnetic
ordering classification and balanced recall across FM and FiM classes,
addressing a key limitation in prior studies. The model predicts magnetic
moment per atom with a correlation coefficient of 0.93, surpassing the Hund's
matrix and orbital field matrix descriptors. Additionally, it accurately
estimates formation energy per atom, enabling assessment of both magnetic
behavior and material stability. This generalized and computationally efficient
framework offers a robust tool for high-throughput screening of magnetic
materials with tailored properties.","['Apoorv Verma', 'Junaid Jami', 'Amrita Bhattacharya']",2025-07-02 17:24:50+00:00,2025-07-02 17:24:50+00:00,http://arxiv.org/pdf/2507.01913v1,cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'cs.LG']"
3D Reconstruction and Information Fusion between Dormant and Canopy Seasons in Commercial Orchards Using Deep Learning and Fast GICP,"In orchard automation, dense foliage during the canopy season severely
occludes tree structures, minimizing visibility to various canopy parts such as
trunks and branches, which limits the ability of a machine vision system.
However, canopy structure is more open and visible during the dormant season
when trees are defoliated. In this work, we present an information fusion
framework that integrates multi-seasonal structural data to support robotic and
automated crop load management during the entire growing season. The framework
combines high-resolution RGB-D imagery from both dormant and canopy periods
using YOLOv9-Seg for instance segmentation, Kinect Fusion for 3D
reconstruction, and Fast Generalized Iterative Closest Point (Fast GICP) for
model alignment. Segmentation outputs from YOLOv9-Seg were used to extract
depth-informed masks, which enabled accurate 3D point cloud reconstruction via
Kinect Fusion; these reconstructed models from each season were subsequently
aligned using Fast GICP to achieve spatially coherent multi-season fusion. The
YOLOv9-Seg model, trained on manually annotated images, achieved a mean squared
error (MSE) of 0.0047 and segmentation mAP@50 scores up to 0.78 for trunks in
dormant season dataset. Kinect Fusion enabled accurate reconstruction of tree
geometry, validated with field measurements resulting in root mean square
errors (RMSE) of 5.23 mm for trunk diameter, 4.50 mm for branch diameter, and
13.72 mm for branch spacing. Fast GICP achieved precise cross-seasonal
registration with a minimum fitness score of 0.00197, allowing integrated,
comprehensive tree structure modeling despite heavy occlusions during the
growing season. This fused structural representation enables robotic systems to
access otherwise obscured architectural information, improving the precision of
pruning, thinning, and other automated orchard operations.","['Ranjan Sapkota', 'Zhichao Meng', 'Martin Churuvija', 'Xiaoqiang Du', 'Zenghong Ma', 'Manoj Karkee']",2025-07-02 17:24:18+00:00,2025-07-02 17:24:18+00:00,http://arxiv.org/pdf/2507.01912v1,cs.CV,['cs.CV']
