Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories
Point3R: Streaming 3D Reconstruction with Explicit Spatial Pointer Memory,"Dense 3D scene reconstruction from an ordered sequence or unordered image
collections is a critical step when bringing research in computer vision into
practical scenarios. Following the paradigm introduced by DUSt3R, which unifies
an image pair densely into a shared coordinate system, subsequent methods
maintain an implicit memory to achieve dense 3D reconstruction from more
images. However, such implicit memory is limited in capacity and may suffer
from information loss of earlier frames. We propose Point3R, an online
framework targeting dense streaming 3D reconstruction. To be specific, we
maintain an explicit spatial pointer memory directly associated with the 3D
structure of the current scene. Each pointer in this memory is assigned a
specific 3D position and aggregates scene information nearby in the global
coordinate system into a changing spatial feature. Information extracted from
the latest frame interacts explicitly with this pointer memory, enabling dense
integration of the current observation into the global coordinate system. We
design a 3D hierarchical position embedding to promote this interaction and
design a simple yet effective fusion mechanism to ensure that our pointer
memory is uniform and efficient. Our method achieves competitive or
state-of-the-art performance on various tasks with low training costs. Code is
available at: https://github.com/YkiWu/Point3R.","['Yuqi Wu', 'Wenzhao Zheng', 'Jie Zhou', 'Jiwen Lu']",2025-07-03 17:59:56+00:00,2025-07-03 17:59:56+00:00,http://arxiv.org/pdf/2507.02863v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']"
Answer Matching Outperforms Multiple Choice for Language Model Evaluation,"Multiple choice benchmarks have long been the workhorse of language model
evaluation because grading multiple choice is objective and easy to automate.
However, we show multiple choice questions from popular benchmarks can often be
answered without even seeing the question. These shortcuts arise from a
fundamental limitation of discriminative evaluation not shared by evaluations
of the model's free-form, generative answers. Until recently, there appeared to
be no viable, scalable alternative to multiple choice--but, we show that this
has changed. We consider generative evaluation via what we call answer
matching: Give the candidate model the question without the options, have it
generate a free-form response, then use a modern language model with the
reference answer to determine if the response matches the reference. To compare
the validity of different evaluation strategies, we annotate MMLU-Pro and
GPQA-Diamond to obtain human grading data, and measure the agreement of each
evaluation approach. We find answer matching using recent models--even small
ones--achieves near-perfect agreement, in the range of inter-annotator
agreement. In contrast, both multiple choice evaluation and using
LLM-as-a-judge without reference answers aligns poorly with human grading.
Improving evaluations via answer matching is not merely a conceptual concern:
the rankings of several models change significantly when evaluating their
free-form responses with answer matching. In light of these findings, we
discuss how to move the evaluation ecosystem from multiple choice to answer
matching.","['Nikhil Chandak', 'Shashwat Goel', 'Ameya Prabhu', 'Moritz Hardt', 'Jonas Geiping']",2025-07-03 17:59:02+00:00,2025-07-03 17:59:02+00:00,http://arxiv.org/pdf/2507.02856v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']"
MOTIF: Modular Thinking via Reinforcement Fine-tuning in LLMs,"Recent advancements in the reasoning capabilities of large language models
(LLMs) show that employing group relative policy optimization (GRPO) algorithm
for reinforcement learning (RL) training allows the models to use more
thinking/reasoning tokens for generating better responses. However, LLMs can
generate only a finite amount of tokens while maintaining attention to the
previously generated tokens. This limit, also known as the context size of an
LLM, is a bottleneck in LLM reasoning with arbitrarily large number of tokens.
To think beyond the limit of context size, an LLM must employ a modular
thinking strategy to reason over multiple rounds. In this work, we propose
$\textbf{MOTIF: Modular Thinking via Reinforcement Finetuning}$ -- an RL
training method for generating thinking tokens in multiple rounds, effectively
allowing the model to think with additional context size. We trained the
open-source model Qwen2.5-3B-Instruct on GSM8K dataset via parameter efficient
fine-tuning and tested its accuracy on MATH500 and AIME2024 benchmarks. Our
experiments show 3.8\% and 3.3\% improvements over vanilla GRPO based training
in the respective benchmarks. Furthermore, this improvement was achieved with
only 15\% of samples, thus demonstrating sample efficiency of MOTIF. Our code
and models are available at https://github.com/purbeshmitra/MOTIF and
https://huggingface.co/purbeshmitra/MOTIF, respectively.","['Purbesh Mitra', 'Sennur Ulukus']",2025-07-03 17:55:43+00:00,2025-07-03 17:55:43+00:00,http://arxiv.org/pdf/2507.02851v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.IT', 'cs.LG', 'cs.SY', 'eess.SY', 'math.IT']"
LLM Hypnosis: Exploiting User Feedback for Unauthorized Knowledge Injection to All Users,"We describe a vulnerability in language models (LMs) trained with user
feedback, whereby a single user can persistently alter LM knowledge and
behavior given only the ability to provide prompts and upvote / downvote
feedback on LM outputs. To implement the attack, the attacker prompts the LM to
stochastically output either a ""poisoned"" or benign response, then upvotes the
poisoned response or downvotes the benign one. When feedback signals are used
in a subsequent preference tuning behavior, LMs exhibit increased probability
of producing poisoned responses even in contexts without malicious prompts. We
show that this attack can be used to (1) insert factual knowledge the model did
not previously possess, (2) modify code generation patterns in ways that
introduce exploitable security flaws, and (3) inject fake financial news. Our
finding both identifies a new qualitative feature of language model preference
tuning (showing that it even highly restricted forms of preference data can be
used to exert fine-grained control over behavior), and a new attack mechanism
for LMs trained with user feedback (extending work on pretraining-time data
poisoning and deployment-time prompt injection).","['Almog Hilel', 'Idan Shenfeld', 'Leshem Choshen', 'Jacob Andreas']",2025-07-03 17:55:40+00:00,2025-07-03 17:55:40+00:00,http://arxiv.org/pdf/2507.02850v1,cs.CL,"['cs.CL', 'cs.CR', 'cs.LG']"
MvHo-IB: Multi-View Higher-Order Information Bottleneck for Brain Disorder Diagnosis,"Recent evidence suggests that modeling higher-order interactions (HOIs) in
functional magnetic resonance imaging (fMRI) data can enhance the diagnostic
accuracy of machine learning systems. However, effectively extracting and
utilizing HOIs remains a significant challenge. In this work, we propose
MvHo-IB, a novel multi-view learning framework that integrates both pairwise
interactions and HOIs for diagnostic decision-making, while automatically
compressing task-irrelevant redundant information. MvHo-IB introduces several
key innovations: (1) a principled method that combines O-information from
information theory with a matrix-based Renyi alpha-order entropy estimator to
quantify and extract HOIs, (2) a purpose-built Brain3DCNN encoder to
effectively utilize these interactions, and (3) a new multi-view learning
information bottleneck objective to enhance representation learning.
Experiments on three benchmark fMRI datasets demonstrate that MvHo-IB achieves
state-of-the-art performance, significantly outperforming previous methods,
including recent hypergraph-based techniques. The implementation of MvHo-IB is
available at https://github.com/zky04/MvHo-IB.","['Kunyu Zhang', 'Qiang Li', 'Shujian Yu']",2025-07-03 17:54:03+00:00,2025-07-03 17:54:03+00:00,http://arxiv.org/pdf/2507.02847v1,cs.LG,['cs.LG']
Legal Requirements Translation from Law,"Software systems must comply with legal regulations, which is a
resource-intensive task, particularly for small organizations and startups
lacking dedicated legal expertise. Extracting metadata from regulations to
elicit legal requirements for software is a critical step to ensure compliance.
However, it is a cumbersome task due to the length and complex nature of legal
text. Although prior work has pursued automated methods for extracting
structural and semantic metadata from legal text, key limitations remain: they
do not consider the interplay and interrelationships among attributes
associated with these metadata types, and they rely on manual labeling or
heuristic-driven machine learning, which does not generalize well to new
documents. In this paper, we introduce an approach based on textual entailment
and in-context learning for automatically generating a canonical representation
of legal text, encodable and executable as Python code. Our representation is
instantiated from a manually designed Python class structure that serves as a
domain-specific metamodel, capturing both structural and semantic legal
metadata and their interrelationships. This design choice reduces the need for
large, manually labeled datasets and enhances applicability to unseen
legislation. We evaluate our approach on 13 U.S. state data breach notification
laws, demonstrating that our generated representations pass approximately 89.4%
of test cases and achieve a precision and recall of 82.2 and 88.7,
respectively.","['Anmol Singhal', 'Travis Breaux']",2025-07-03 17:53:48+00:00,2025-07-03 17:53:48+00:00,http://arxiv.org/pdf/2507.02846v1,cs.SE,"['cs.SE', 'cs.CL']"
LLM-Driven Treatment Effect Estimation Under Inference Time Text Confounding,"Estimating treatment effects is crucial for personalized decision-making in
medicine, but this task faces unique challenges in clinical practice. At
training time, models for estimating treatment effects are typically trained on
well-structured medical datasets that contain detailed patient information.
However, at inference time, predictions are often made using textual
descriptions (e.g., descriptions with self-reported symptoms), which are
incomplete representations of the original patient information. In this work,
we make three contributions. (1) We show that the discrepancy between the data
available during training time and inference time can lead to biased estimates
of treatment effects. We formalize this issue as an inference time text
confounding problem, where confounders are fully observed during training time
but only partially available through text at inference time. (2) To address
this problem, we propose a novel framework for estimating treatment effects
that explicitly accounts for inference time text confounding. Our framework
leverages large language models together with a custom doubly robust learner to
mitigate biases caused by the inference time text confounding. (3) Through a
series of experiments, we demonstrate the effectiveness of our framework in
real-world applications.","['Yuchen Ma', 'Dennis Frauen', 'Jonas Schweisthal', 'Stefan Feuerriegel']",2025-07-03 17:52:27+00:00,2025-07-03 17:52:27+00:00,http://arxiv.org/pdf/2507.02843v1,cs.LG,['cs.LG']
StepHint: Multi-level Stepwise Hints Enhance Reinforcement Learning to Reason,"Reinforcement learning with verifiable rewards (RLVR) is a promising approach
for improving the complex reasoning abilities of large language models (LLMs).
However, current RLVR methods face two significant challenges: the near-miss
reward problem, where a small mistake can invalidate an otherwise correct
reasoning process, greatly hindering training efficiency; and exploration
stagnation, where models tend to focus on solutions within their ``comfort
zone,'' lacking the motivation to explore potentially more effective
alternatives. To address these challenges, we propose StepHint, a novel RLVR
algorithm that utilizes multi-level stepwise hints to help models explore the
solution space more effectively. StepHint generates valid reasoning chains from
stronger models and partitions these chains into reasoning steps using our
proposed adaptive partitioning method. The initial few steps are used as hints,
and simultaneously, multiple-level hints (each comprising a different number of
steps) are provided to the model. This approach directs the model's exploration
toward a promising solution subspace while preserving its flexibility for
independent exploration. By providing hints, StepHint mitigates the near-miss
reward problem, thereby improving training efficiency. Additionally, the
external reasoning pathways help the model develop better reasoning abilities,
enabling it to move beyond its ``comfort zone'' and mitigate exploration
stagnation. StepHint outperforms competitive RLVR enhancement methods across
six mathematical benchmarks, while also demonstrating superior generalization
and excelling over baselines on out-of-domain benchmarks.","['Kaiyi Zhang', 'Ang Lv', 'Jinpeng Li', 'Yongbo Wang', 'Feng Wang', 'Haoyuan Hu', 'Rui Yan']",2025-07-03 17:51:06+00:00,2025-07-03 17:51:06+00:00,http://arxiv.org/pdf/2507.02841v1,cs.AI,"['cs.AI', 'cs.CL', 'cs.LG']"
ExPO: Unlocking Hard Reasoning with Self-Explanation-Guided Reinforcement Learning,"Recent advances in large language models have been driven by reinforcement
learning (RL)-style post-training, which improves reasoning by optimizing model
outputs based on reward or preference signals. GRPO-style approaches implement
this by using self-generated samples labeled by an outcome-based verifier.
However, these methods depend heavily on the model's initial ability to produce
positive samples. They primarily refine what the model already knows
(distribution sharpening) rather than enabling the model to solve problems
where it initially fails. This limitation is especially problematic in
early-stage RL training and on challenging reasoning tasks, where positive
samples are unlikely to be generated. To unlock reasoning ability in such
settings, the model must explore new reasoning trajectories beyond its current
output distribution. Such exploration requires access to sufficiently good
positive samples to guide the learning. While expert demonstrations seem like a
natural solution, we find that they are often ineffective in RL post-training.
Instead, we identify two key properties of effective positive samples: they
should (1) be likely under the current policy, and (2) increase the model's
likelihood of predicting the correct answer. Based on these insights, we
propose $\textbf{Self-Explanation Policy Optimization (ExPO)}$-a simple and
modular framework that generates such samples by conditioning on the
ground-truth answer. ExPO enables efficient exploration and guides the model to
produce reasoning trajectories more aligned with its policy than expert-written
CoTs, while ensuring higher quality than its own (incorrect) samples.
Experiments show that ExPO improves both learning efficiency and final
performance on reasoning benchmarks, surpassing expert-demonstration-based
methods in challenging settings such as MATH level-5, where the model initially
struggles the most.","['Ruiyang Zhou', 'Shuozhe Li', 'Amy Zhang', 'Liu Leqi']",2025-07-03 17:44:55+00:00,2025-07-03 17:44:55+00:00,http://arxiv.org/pdf/2507.02834v1,cs.LG,"['cs.LG', 'cs.CL']"
Generalizing Verifiable Instruction Following,"A crucial factor for successful human and AI interaction is the ability of
language models or chatbots to follow human instructions precisely. A common
feature of instructions are output constraints like ``only answer with yes or
no"" or ``mention the word `abrakadabra' at least 3 times"" that the user adds to
craft a more useful answer. Even today's strongest models struggle with
fulfilling such constraints. We find that most models strongly overfit on a
small set of verifiable constraints from the benchmarks that test these
abilities, a skill called precise instruction following, and are not able to
generalize well to unseen output constraints. We introduce a new benchmark,
IFBench, to evaluate precise instruction following generalization on 58 new,
diverse, and challenging verifiable out-of-domain constraints. In addition, we
perform an extensive analysis of how and on what data models can be trained to
improve precise instruction following generalization. Specifically, we
carefully design constraint verification modules and show that reinforcement
learning with verifiable rewards (RLVR) significantly improves instruction
following. In addition to IFBench, we release 29 additional new hand-annotated
training constraints and verification functions, RLVR training prompts, and
code.","['Valentina Pyatkin', 'Saumya Malik', 'Victoria Graf', 'Hamish Ivison', 'Shengyi Huang', 'Pradeep Dasigi', 'Nathan Lambert', 'Hannaneh Hajishirzi']",2025-07-03 17:44:33+00:00,2025-07-03 17:44:33+00:00,http://arxiv.org/pdf/2507.02833v1,cs.CL,['cs.CL']
